obd_supported_commands{command="get_dtc",desc="Get DTCs"} 1.0
obd_supported_commands{command="get_current_dtc",desc="Get DTCs from the current/last driving cycle"} 1.0
obd_supported_commands{command="distance_since_dtc_clear",desc="Distance traveled since codes cleared"} 1.0
obd_supported_commands{command="warmups_since_dtc_clear",desc="Number of warm-ups since codes cleared"} 1.0
obd_supported_commands{command="freeze_dtc",desc="DTC that triggered the freeze frame"} 1.0

obd_supported_commands{command="elm_voltage",desc="Voltage detected by OBD-II adapter"} 1.0
obd_supported_commands{command="engine_load",desc="Calculated Engine Load"} 1.0
obd_supported_commands{command="run_time",desc="Engine Run Time"} 1.0
obd_supported_commands{command="fuel_type",desc="Fuel Type"} 1.0
obd_supported_commands{command="fuel_level",desc="Fuel Level Input"} 1.0
obd_supported_commands{command="control_module_voltage",desc="Control module voltage"} 1.0
obd_supported_commands{command="timing_advance",desc="Timing Advance"} 1.0
obd_supported_commands{command="intake_pressure",desc="Intake Manifold Pressure"} 1.0
obd_supported_commands{command="evap_vapor_pressure",desc="Evaporative system vapor pressure"} 1.0
obd_supported_commands{command="relative_throttle_pos",desc="Relative throttle position"} 1.0
obd_supported_commands{command="absolute_load",desc="Absolute load value"} 1.0
obd_supported_commands{command="rpm",desc="Engine RPM"} 1.0
obd_supported_commands{command="fuel_status",desc="Fuel System Status"} 1.0
obd_supported_commands{command="throttle_actuator",desc="Commanded throttle actuator"} 1.0
obd_supported_commands{command="accelerator_pos_d",desc="Accelerator pedal position D"} 1.0
obd_supported_commands{command="intake_temp",desc="Intake Air Temp"} 1.0
obd_supported_commands{command="throttle_pos_b",desc="Absolute throttle position B"} 1.0
obd_supported_commands{command="cvn",desc="Calibration Verification Numbers"} 1.0
obd_supported_commands{command="long_fuel_trim_1",desc="Long Term Fuel Trim - Bank 1"} 1.0
obd_supported_commands{command="throttle_pos",desc="Throttle Position"} 1.0
obd_supported_commands{command="coolant_temp",desc="Engine Coolant Temperature"} 1.0
obd_supported_commands{command="catalyst_temp_b1s1",desc="Catalyst Temperature: Bank 1 - Sensor 1"} 1.0
obd_supported_commands{command="distance_w_mil",desc="Distance Traveled with MIL on"} 1.0
obd_supported_commands{command="maf",desc="Air Flow Rate (MAF)"} 1.0
obd_supported_commands{command="evaporative_purge",desc="Commanded Evaporative Purge"} 1.0
obd_supported_commands{command="commanded_equiv_ratio",desc="Commanded equivalence ratio"} 1.0
obd_supported_commands{command="barometric_pressure",desc="Barometric Pressure"} 1.0
